,Roslyn,Rust,Kubernetes
393,201.0,3.0,8.0
394,2.0,1.0,1.0
395,30.0,5.0,1.0
396,5.0,1.0,8.0
397,21.0,1.0,1.0
398,12.0,12.0,26.0
399,1.0,1.0,24.0
400,3.0,2.0,15.0
401,3.0,27.0,1.0
402,34.0,1.0,1.0
403,34.0,2.0,10.0
404,1.0,1.0,1.0
405,21.0,24.0,11.0
406,4.0,8.0,1.0
407,93.0,18.0,35.0
408,6.0,1.0,20.0
409,7.0,9.0,7.0
410,100.0,1.0,25.0
411,11.0,7.0,1.0
412,56.0,20.0,5.0
413,1.0,7.0,1.0
414,1.0,3.0,1.0
415,1.0,2.0,1.0
416,123.0,120.0,1.0
417,64.0,1.0,70.0
418,1.0,7.0,1.0
419,7.0,2.0,1.0
420,181.0,50.0,1.0
421,135.0,1.0,1.0
422,18.0,6.0,3.0
423,43.0,1.0,4.0
424,46.0,1.0,5.0
425,16.0,30.0,1.0
426,7.0,146.0,23.0
427,80.0,8.0,3.0
428,71.0,8.0,3.0
429,23.0,1.0,2.0
430,1.0,91.0,1.0
431,81.0,1.0,8.0
432,22.0,9.0,1.0
433,23.0,51.0,4.0
434,5.0,77.0,50.0
435,25.0,1.0,1.0
436,25.0,9.0,13.0
437,88.0,2.0,33.0
438,28.0,2.0,10.0
439,1.0,6.0,10.0
440,1.0,25.0,1.0
441,5.0,5.0,11.0
442,35.0,2.0,3.0
443,77.0,1.0,1.0
444,108.0,68.0,2.0
445,3.0,1.0,1.0
446,2.0,9.0,1.0
447,1.0,3.0,1.0
448,157.0,1.0,6.0
449,15.0,26.0,1.0
450,16.0,1.0,1.0
451,13.0,4.0,34.0
452,5.0,2.0,2.0
453,2.0,15.0,2.0
454,19.0,4.0,1.0
455,167.0,3.0,1.0
456,4.0,4.0,92.0
457,131.0,2.0,1.0
458,1.0,1.0,1.0
459,3.0,52.0,21.0
460,28.0,5.0,1.0
461,4.0,137.0,2.0
462,4.0,2.0,3.0
463,21.0,6.0,1.0
464,99.0,1.0,1.0
465,46.0,3.0,9.0
466,2.0,1.0,4.0
467,2.0,3.0,2.0
468,1.0,6.0,6.0
469,114.0,1.0,2.0
470,2.0,78.0,3.0
471,1.0,1.0,6.0
472,42.0,3.0,7.0
473,14.0,4.0,52.0
474,99.0,1.0,9.0
475,6.0,13.0,2.0
476,26.0,1.0,1.0
477,1.0,1.0,9.0
478,11.0,5.0,2.0
479,1.0,2.0,46.0
480,8.0,3.0,2.0
481,62.0,4.0,1.0
482,7.0,2.0,95.0
483,3.0,23.0,1.0
484,6.0,1.0,1.0
485,8.0,3.0,5.0
486,42.0,3.0,1.0
487,40.0,27.0,2.0
488,1.0,1.0,1.0
489,1.0,1.0,8.0
490,150.0,1.0,3.0
491,149.0,1.0,70.0
492,1.0,1.0,2.0
493,28.0,1.0,17.0
494,53.0,1.0,1.0
495,5.0,1.0,17.0
496,1.0,71.0,12.0
497,93.0,102.0,5.0
498,1.0,6.0,1.0
499,2.0,1.0,2.0
500,5.0,1.0,39.0
501,8.0,1.0,1.0
502,2.0,2.0,3.0
503,1.0,10.0,3.0
504,34.0,5.0,1.0
505,1.0,11.0,5.0
506,35.0,1.0,54.0
507,1.0,1.0,3.0
508,6.0,3.0,22.0
509,1.0,1.0,3.0
510,1.0,1.0,1.0
511,2.0,1.0,7.0
512,10.0,1.0,10.0
513,15.0,8.0,1.0
514,3.0,3.0,1.0
515,2.0,2.0,1.0
516,1.0,2.0,13.0
517,48.0,1.0,12.0
518,1.0,15.0,1.0
519,5.0,2.0,1.0
520,18.0,1.0,1.0
521,5.0,2.0,9.0
522,3.0,2.0,10.0
523,1.0,1.0,1.0
524,1.0,1.0,1.0
525,4.0,1.0,10.0
526,14.0,16.0,2.0
527,79.0,1.0,1.0
528,16.0,11.0,1.0
529,1.0,1.0,10.0
530,1.0,4.0,1.0
531,32.0,1.0,10.0
532,1.0,15.0,340.0
533,3.0,2.0,1.0
534,1.0,46.0,1.0
535,38.0,2.0,3.0
536,1.0,1.0,2.0
537,1.0,1.0,154.0
538,87.0,4.0,1.0
539,1.0,31.0,49.0
540,50.0,2.0,1.0
541,63.0,25.0,32.0
542,7.0,2.0,21.0
543,2.0,10.0,22.0
544,15.0,3.0,1.0
545,4.0,6.0,1.0
546,1.0,1.0,224.0
547,37.0,13.0,72.0
548,1.0,1.0,49.0
549,11.0,3.0,10.0
550,1.0,1.0,3.0
551,3.0,1.0,1.0
552,1.0,6.0,11.0
553,45.0,1.0,69.0
554,2.0,3.0,4.0
555,36.0,5.0,17.0
556,61.0,1.0,58.0
557,14.0,1.0,1.0
558,1.0,41.0,19.0
559,1.0,8.0,1.0
560,51.0,4.0,155.0
561,1.0,6.0,13.0
562,8.0,1.0,4.0
563,1.0,1.0,1.0
564,1.0,6.0,2.0
565,6.0,20.0,9.0
566,1.0,14.0,231.0
567,26.0,3.0,1.0
568,1.0,191.0,5.0
569,1.0,1.0,1.0
570,2.0,11.0,2.0
571,1.0,20.0,1.0
572,1.0,13.0,1.0
573,11.0,1.0,2.0
574,50.0,5.0,148.0
575,1.0,2.0,11.0
576,190.0,140.0,6.0
577,1.0,44.0,4.0
578,8.0,7.0,3.0
579,1.0,2.0,1.0
580,5.0,9.0,34.0
581,1.0,3.0,33.0
582,1.0,6.0,4.0
583,1.0,3.0,6.0
584,16.0,2.0,275.0
585,1.0,147.0,2.0
586,1.0,6.0,1.0
587,27.0,6.0,2.0
588,191.0,2.0,6.0
589,23.0,8.0,4.0
590,36.0,17.0,2.0
591,2.0,4.0,2.0
592,1.0,4.0,3.0
593,1.0,1.0,2.0
594,77.0,2.0,2.0
595,1.0,7.0,5.0
596,1.0,1.0,1.0
597,1.0,16.0,1.0
598,4.0,3.0,33.0
599,1.0,1.0,33.0
600,12.0,2.0,5.0
601,48.0,1.0,8.0
602,1.0,2.0,1.0
603,3.0,6.0,1059.0
604,20.0,3.0,1.0
605,1.0,1.0,30.0
606,1.0,1.0,10.0
607,1.0,8.0,1.0
608,3.0,1.0,1.0
609,1.0,12.0,9.0
610,1.0,18.0,55.0
611,1.0,1.0,1.0
612,5.0,1.0,4.0
613,1.0,10.0,2.0
614,1.0,1.0,1.0
615,42.0,2.0,1.0
616,7.0,7.0,1.0
617,5.0,1.0,27.0
618,1.0,1.0,1.0
619,2.0,1.0,50.0
620,2.0,61.0,1.0
621,1.0,1.0,1.0
622,1.0,1.0,1.0
623,1.0,1.0,12.0
624,1.0,31.0,1.0
625,64.0,1.0,3.0
626,2.0,1.0,14.0
627,5.0,1.0,3.0
628,1.0,5.0,1.0
629,11.0,1.0,2.0
630,1.0,2.0,3.0
631,75.0,1.0,8.0
632,1.0,4.0,1.0
633,1.0,1.0,284.0
634,1.0,1.0,60.0
635,5.0,4.0,3.0
636,61.0,1.0,1.0
637,9.0,1.0,1.0
638,4.0,5.0,4.0
639,9.0,1.0,139.0
640,8.0,1.0,4.0
641,2.0,22.0,4.0
642,1.0,14.0,8.0
643,8.0,1.0,1.0
644,36.0,1.0,1.0
645,41.0,2.0,1.0
646,1.0,1.0,8.0
647,153.0,1.0,1.0
648,1.0,3.0,1.0
649,19.0,1.0,10.0
650,2.0,2.0,4.0
651,114.0,2.0,141.0
652,1.0,2.0,8.0
653,14.0,11.0,1.0
654,53.0,1.0,11.0
655,1.0,1.0,106.0
656,25.0,1.0,8.0
657,1.0,6.0,2.0
658,8.0,11.0,20.0
659,22.0,7.0,46.0
660,3.0,86.0,68.0
661,11.0,35.0,10.0
662,1.0,28.0,1.0
663,4.0,1.0,32.0
664,117.0,1.0,10.0
665,1.0,1.0,1.0
666,1.0,2.0,1.0
667,1.0,4.0,75.0
668,12.0,1.0,6.0
669,1.0,3.0,11.0
670,1.0,1.0,1.0
671,1.0,2.0,10.0
672,30.0,2.0,1.0
673,1.0,16.0,5.0
674,2.0,1.0,3.0
675,12.0,1.0,1.0
676,16.0,18.0,6.0
677,4.0,1.0,77.0
678,4.0,2.0,10.0
679,17.0,3.0,39.0
680,2.0,2.0,1.0
681,32.0,1.0,4.0
682,25.0,1.0,2.0
683,4.0,30.0,3.0
684,40.0,2.0,3.0
685,176.0,1.0,4.0
686,74.0,1.0,1.0
687,4.0,8.0,16.0
688,36.0,2.0,255.0
689,1.0,2.0,1.0
690,22.0,8.0,2.0
691,1.0,8.0,1.0
692,52.0,1.0,4.0
693,1.0,9.0,32.0
694,1.0,1.0,1.0
695,6.0,6.0,4.0
696,7.0,2.0,2.0
697,110.0,5.0,84.0
698,105.0,1.0,2.0
699,1.0,88.0,4.0
700,42.0,1.0,1.0
701,27.0,4.0,1.0
702,3.0,1.0,1.0
703,14.0,1.0,1.0
704,9.0,6.0,17.0
705,152.0,1.0,1.0
706,27.0,2.0,2.0
707,2.0,2.0,5.0
708,3.0,1.0,6.0
709,3.0,262.0,17.0
