,Roslyn,Rust,Kubernetes
371,1.0,4.0,77.0
372,1.0,1.0,17.0
373,1.0,1.0,8.0
374,29.0,20.0,3.0
375,1.0,28.0,12.0
376,29.0,6.0,24.0
377,1.0,32.0,15.0
378,1.0,24.0,1.0
379,14.0,2.0,2.0
380,1.0,27.0,2.0
381,2.0,4.0,38.0
382,4.0,1.0,4.0
383,1.0,43.0,1.0
384,1.0,1.0,6.0
385,4.0,1.0,1.0
386,1.0,7.0,8.0
387,1.0,8.0,1.0
388,13.0,8.0,3.0
389,12.0,3.0,34.0
390,2.0,1.0,1.0
391,3.0,12.0,9.0
392,1.0,1.0,10.0
393,1.0,25.0,6.0
394,2.0,1.0,4.0
395,33.0,1.0,2.0
396,14.0,3.0,2.0
397,29.0,1.0,90.0
398,45.0,14.0,35.0
399,36.0,10.0,18.0
400,16.0,5.0,23.0
401,9.0,1.0,67.0
402,4.0,1.0,23.0
403,8.0,1.0,3.0
404,3.0,6.0,3.0
405,3.0,1.0,36.0
406,7.0,32.0,7.0
407,80.0,4.0,19.0
408,74.0,1.0,5.0
409,34.0,42.0,17.0
410,14.0,1.0,107.0
411,74.0,14.0,29.0
412,2.0,2.0,4.0
413,54.0,3.0,36.0
414,95.0,2.0,118.0
415,3.0,1.0,21.0
416,93.0,10.0,12.0
417,4.0,2.0,58.0
418,39.0,3.0,45.0
419,1.0,1.0,20.0
420,4.0,2.0,28.0
421,55.0,1.0,20.0
422,20.0,1.0,6.0
423,1.0,1.0,32.0
424,36.0,6.0,27.0
425,1.0,2.0,9.0
426,13.0,2.0,1.0
427,28.0,3.0,9.0
428,5.0,1.0,5.0
429,6.0,5.0,20.0
430,18.0,7.0,63.0
431,4.0,4.0,37.0
432,3.0,5.0,3.0
433,1.0,10.0,1.0
434,4.0,1.0,1.0
435,2.0,1.0,7.0
436,6.0,2.0,39.0
437,38.0,4.0,10.0
438,24.0,2.0,5.0
439,3.0,2.0,16.0
440,2.0,7.0,13.0
441,4.0,3.0,1.0
